id,job_title,id_area,job_description
01,Frontend Developer,SOFT_DEV,"Interfacce utente e logica client-side."
02,Backend Developer,SOFT_DEV,"Logica server-side, database e integrazioni."
03,Full Stack Developer,SOFT_DEV,"Sviluppo end-to-end (Frontend + Backend)."
04,Mobile App Developer (iOS),SOFT_DEV,"Sviluppo nativo ecosistema Apple."
05,Mobile App Developer (Android),SOFT_DEV,"Sviluppo nativo ecosistema Android."
06,React Developer,SOFT_DEV,"Specialista framework React."
07,Vue.js Developer,SOFT_DEV,"Specialista framework Vue."
08,Angular Developer,SOFT_DEV,"Specialista framework Angular."
09,Python Developer,SOFT_DEV,"Sviluppo software general-purpose in Python."
10,Java Developer,SOFT_DEV,"Sviluppo enterprise in ambiente Java."
11,.NET Developer,SOFT_DEV,"Sviluppo ecosistema Microsoft."
12,PHP Developer,SOFT_DEV,"Sviluppo web basato su PHP."
13,Ruby on Rails Developer,SOFT_DEV,"Sviluppo rapido su framework RoR."
14,Golang Developer,SOFT_DEV,"Sviluppo sistemi scalabili in Go."
15,Rust Developer,SOFT_DEV,"Sviluppo ad alte prestazioni e sicurezza."
16,C++ Developer,SOFT_DEV,"Sviluppo di sistemi e applicazioni legacy/high-perf."
17,Embedded Systems Engineer,SOFT_DEV,"Software per hardware dedicato."
18,Firmware Engineer,SOFT_DEV,"Programmazione a basso livello (HW interface)."
19,API Developer,SOFT_DEV,"Progettazione e sviluppo di interfacce di programmazione."
20,Software Architect,SOFT_DEV,"Progettazione strutturale di sistemi software."
21,QA Engineer (Manual),SOFT_DEV,"Test manuali e verifica requisiti."
22,QA Automation Engineer,SOFT_DEV,"Creazione di suite di test automatizzati."
23,SDET,SOFT_DEV,"Software Development Engineer in Test."
24,Game Developer,SOFT_DEV,"Sviluppo motori grafici e logiche di gioco."
25,WordPress Developer,SOFT_DEV,"Sviluppo su piattaforma CMS WordPress."
26,DevOps Engineer,DEVOPS,"Integrazione tra sviluppo e operazioni IT."
27,Site Reliability Engineer (SRE),DEVOPS,"Affidabilità e scalabilità dei sistemi."
28,Platform Engineer,DEVOPS,"Creazione di piattaforme self-service per developer."
29,Cloud Architect,DEVOPS,"Progettazione di infrastrutture Cloud (AWS/Azure/GCP)."
30,Cloud Engineer,DEVOPS,"Implementazione e gestione servizi cloud."
31,Cloud Security Engineer,DEVOPS,"Sicurezza specifica per ambienti cloud."
32,Cloud Migration Specialist,DEVOPS,"Gestione del passaggio da on-premise a cloud."
33,Network Engineer,DEVOPS,"Gestione e configurazione delle reti."
34,Network Architect,DEVOPS,"Progettazione di architetture di rete complesse."
35,Systems Administrator (Linux),DEVOPS,"Gestione server basati su Linux."
36,Systems Administrator (Windows),DEVOPS,"Gestione server basati su Windows."
37,Database Administrator (DBA),DEVOPS,"Manutenzione e ottimizzazione dei database."
38,Solutions Architect,DEVOPS,"Progettazione di soluzioni tecniche per business needs."
39,Enterprise Architect,DEVOPS,"Allineamento strategia IT con obiettivi aziendali."
40,Data Center Technician,DEVOPS,"Manutenzione fisica e hardware dei data center."
41,IaC Specialist,DEVOPS,"Automazione infrastrutturale (Terraform/Ansible)."
42,Virtualization Engineer,DEVOPS,"Gestione ambienti virtualizzati (VMWare/Hyper-V)."
43,Storage Administrator,DEVOPS,"Gestione dei sistemi di archiviazione dati."
44,Systems Engineer,DEVOPS,"Ingegneria dei sistemi informatici complessi."
45,IT Operations Manager,DEVOPS,"Coordinamento delle operazioni IT quotidiane."
46,Data Scientist,DATA,"Analisi statistica e creazione modelli predittivi."
47,Data Engineer,DATA,"Costruzione di pipeline e infrastrutture dati."
48,Data Analyst,DATA,"Interpretazione dati per reportistica di business."
49,Machine Learning Engineer,DATA,"Implementazione di algoritmi di ML in produzione."
50,Deep Learning Specialist,DATA,"Focus su reti neurali e modelli complessi."
51,NLP Engineer,DATA,"Elaborazione del linguaggio naturale."
52,Computer Vision Engineer,DATA,"Elaborazione di immagini e video tramite AI."
53,MLOps Engineer,DATA,"DevOps applicato al ciclo di vita del Machine Learning."
54,AI Researcher,DATA,"Ricerca e sviluppo di nuovi algoritmi AI."
55,BI Developer,DATA,"Sviluppo di soluzioni di Business Intelligence."
56,Big Data Architect,DATA,"Progettazione sistemi per grandi volumi di dati."
57,Data Architect,DATA,"Definizione della struttura dei dati aziendali."
58,Data Warehouse Manager,DATA,"Gestione dei sistemi di archiviazione storica dati."
59,Database Developer,DATA,"Sviluppo di logiche database (SQL/NoSQL)."
60,Data Steward,DATA,"Responsabile della qualità e governance del dato."
61,AI Ethicist,DATA,"Analisi dell'impatto etico delle soluzioni AI."
62,Data Privacy Officer (DPO),DATA,"Garante della protezione dati e conformità."
63,Quantitative Analyst,DATA,"Analisi quantitativa per modelli finanziari/matematici."
64,Predictive Modeler,DATA,"Creazione di modelli basati su previsioni future."
65,Statistician,DATA,"Applicazione di teorie statistiche ai dati."
66,Cybersecurity Analyst,CYBER,"Monitoraggio e analisi delle minacce."
67,Penetration Tester,CYBER,"Test di sicurezza offensiva (Ethical Hacker)."
68,Security Architect,CYBER,"Progettazione di sistemi di difesa informatica."
69,SOC Analyst,CYBER,"Operatore del Security Operations Center."
70,CISO,CYBER,"Responsabile apicale della sicurezza informatica."
71,Incident Responder,CYBER,"Gestione delle emergenze post-attacco."
72,Digital Forensics Investigator,CYBER,"Analisi tecnica post-crimine informatico."
73,Cryptographer,CYBER,"Sviluppo di sistemi di cifratura e protezione."
74,Application Security Engineer,CYBER,"Sicurezza applicata al codice e alle app."
75,Network Security Engineer,CYBER,"Protezione delle infrastrutture di rete."
76,IAM Specialist,CYBER,"Gestione identità e permessi di accesso."
77,GRC Specialist,CYBER,"Governance, Rischio e Conformità normativa."
78,Malware Analyst,CYBER,"Studio e decodifica di software malevoli."
79,Vulnerability Management Eng.,CYBER,"Identificazione e patch di falle di sicurezza."
80,Cloud Security Analyst,CYBER,"Analisi rischi specifici su infrastruttura cloud."
81,UX Designer,UX_UI,"Progettazione dell'esperienza utente."
82,UI Designer,UX_UI,"Progettazione dell'interfaccia visiva."
83,UX Researcher,UX_UI,"Analisi dei bisogni e comportamenti degli utenti."
84,Product Designer,UX_UI,"Design olistico del prodotto digitale."
85,Interaction Designer,UX_UI,"Progettazione delle dinamiche di interazione."
86,Visual Designer,UX_UI,"Cura dell'estetica e degli elementi grafici."
87,Service Designer,UX_UI,"Progettazione dell'ecosistema di servizi."
88,UX Writer,UX_UI,"Redazione di testi e microcopy per l'interfaccia."
89,Accessibility Specialist,UX_UI,"Garante dell'accessibilità (A11y) digitale."
90,Design Systems Engineer,UX_UI,"Sviluppo e manutenzione dei sistemi di design."
91,Product Manager,UX_UI,"Responsabile della strategia e roadmap di prodotto."
92,Product Owner,UX_UI,"Gestione del backlog e priorità per il team."
93,Scrum Master,UX_UI,"Facilitatore del framework Scrum."
94,Agile Coach,UX_UI,"Diffusione delle metodologie Agile in azienda."
95,IT Project Manager,UX_UI,"Gestione operativa di progetti tecnologici."
96,Technical Program Manager,UX_UI,"Gestione di programmi tecnici multi-progetto."
97,Business Systems Analyst,UX_UI,"Analisi requisiti tra business e tecnologia."
98,Delivery Manager,UX_UI,"Responsabile del rilascio e della qualità del delivery."
99,IT Consultant,UX_UI,"Consulenza strategica su soluzioni IT."
100,Engineering Manager,UX_UI,"Gestione delle persone e dei team ingegneristici."
